Probability,min_prob,max_prob,events,nonevents,event_rate,nonevent_rate,cum_eventrate,cum_noneventrate,KS,bad_rate,Lift
1,0.7007075548171997,0.7995569705963135,17.0,407.0,11.18%,1.507854%,11.18%,1.51%,9.700000000000001,4.009433962264151,7.16
2,0.5004567503929138,0.6986263990402222,17.0,580.0,11.18%,2.148785%,22.37%,3.66%,18.7,2.8475711892797317,5.09
3,0.300002783536911,0.4995631277561188,18.0,2010.0,11.84%,7.446651%,34.21%,11.10%,23.1,0.8875739644970414,1.59
4,0.2000089585781097,0.29996106028556824,21.0,3096.0,13.82%,11.470065%,48.03%,22.57%,25.5,0.6737247353224254,1.2
5,0.10001501441001892,0.1999339461326599,45.0,8640.0,29.61%,32.009484%,77.63%,54.58%,23.0,0.5181347150259068,0.93
6,0.010894663631916046,0.09999669343233109,34.0,12259.0,22.37%,45.417161%,100.00%,100.00%,0.0,0.2765801675750427,0.49
7,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
8,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
9,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
10,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
