Probability,min_prob,max_prob,events,nonevents,event_rate,nonevent_rate,cum_eventrate,cum_noneventrate,KS,bad_rate,Lift
1,0.7010922431945801,0.7998077273368835,14.0,396.0,6.45%,1.374237%,6.45%,1.37%,5.1,3.414634146341464,4.57
2,0.5000572204589844,0.6992596387863159,39.0,819.0,17.97%,2.842171%,24.42%,4.22%,20.200000000000003,4.545454545454546,6.08
3,0.3001191318035126,0.4999931454658508,35.0,1925.0,16.13%,6.680316%,40.55%,10.90%,29.7,1.7857142857142856,2.39
4,0.2000567466020584,0.2999863922595978,30.0,2903.0,13.82%,10.074264%,54.38%,20.97%,33.4,1.0228435049437437,1.37
5,0.10000048577785492,0.1999686807394028,54.0,9139.0,24.88%,31.715019%,79.26%,52.69%,26.6,0.587403459153704,0.79
6,0.009232109412550926,0.09999001771211624,45.0,13634.0,20.74%,47.313992%,100.00%,100.00%,0.0,0.3289714160391841,0.44
7,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
8,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
9,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
10,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
