,bin,new_obs,new_obs_perc,old_obs,old_obs_perc,PSI
0,0-100,13018.0,46.39344262295082,109620.0,32.58804748187323,0.04876238779860892
1,100-200,8872.0,31.617961511047753,103327.0,30.7172521634694,0.0002603131518500899
2,200-300,3089.0,11.008553100498931,50773.0,15.093896504261537,0.012894076359599013
3,300-500,1914.0,6.821097647897363,39115.0,11.628183518094067,0.025641542148184867
4,500-700,743.0,2.647897362794013,14031.0,4.17116305617737,0.0069221615182276765
5,700-800,424.0,1.511047754811119,5843.0,1.737018440399428,0.00031492814931211857
6,800-850,0.0,0.0,3240.0,0.9631935216317212,0.0
7,850-900,0.0,0.0,2939.0,0.8737116543443298,0.0
8,900-950,0.0,0.0,3854.0,1.1457246396199547,0.0
9,950-1000,0.0,0.0,3639.0,1.081809020128961,0.0
