,bin,new_obs,new_obs_perc,old_obs,old_obs_perc,PSI
0,0-100,14320.0,45.48486484769558,109620.0,32.58804748187323,0.04300238051901868
1,100-200,9402.0,29.863735984499574,103327.0,30.7172521634694,0.0002405170653191476
2,200-300,3281.0,10.421497316011816,50773.0,15.093896504261537,0.017307488678923007
3,300-500,2163.0,6.870374487818823,39115.0,11.628183518094067,0.025036216752722936
4,500-700,775.0,2.4616459676650893,14031.0,4.17116305617737,0.009015389469170828
5,700-800,432.0,1.3721691071371853,5843.0,1.737018440399428,0.0008602320011574616
6,800-850,298.0,0.9465425785344471,3240.0,0.9631935216317212,2.9036570234915242e-06
7,850-900,236.0,0.7496109011212401,2939.0,0.8737116543443298,0.0001901175548139128
8,900-950,352.0,1.1180637169265955,3854.0,1.1457246396199547,6.76003764586619e-06
9,950-1000,224.0,0.7114950925896516,3639.0,1.081809020128961,0.0015516946674299823
